current,voltage,wire_feed_speed,travel_speed,gas_flow,arc_length,heat_input,quality
238.88,24.9,8.05,384.21,20.19,5.08,0.93,0
233.87,31.86,11.43,423.59,22.86,5.03,1.06,0
208.62,28.39,12.61,479.2,21.01,6.84,0.74,0
263.26,29.19,9.43,523.04,15.73,4.74,0.88,0
225.13,35.13,13.49,490.62,18.26,7.09,0.97,1
193.86,29.75,8.36,421.86,20.1,4.91,0.82,0
219.89,31.79,14.04,344.34,24.31,6.94,1.22,0
217.96,26.23,11.53,381.35,18.0,5.7,0.9,0
223.34,32.59,10.06,551.75,19.46,6.76,0.79,0
158.06,28.3,8.68,321.65,17.55,4.73,0.83,0
204.43,28.28,10.08,342.39,18.99,6.41,1.01,0
208.76,27.01,10.19,355.42,19.86,6.54,0.95,0
244.15,24.57,11.58,574.74,18.59,4.25,0.63,0
259.95,32.27,10.15,404.94,20.96,4.05,1.24,0
206.18,28.87,10.41,342.72,15.57,3.14,1.04,0
206.82,33.16,10.84,450.36,17.11,3.79,0.91,0
203.07,32.15,13.46,436.23,17.23,4.92,0.9,0
212.86,31.76,11.32,338.19,18.12,8.54,1.2,0
192.85,29.41,14.9,367.56,20.75,5.01,0.93,0
200.13,29.22,7.92,394.21,19.35,5.44,0.89,0
190.86,29.69,10.65,456.05,20.19,5.87,0.75,0
200.76,26.35,12.47,460.71,23.23,3.37,0.69,0
247.68,25.1,17.02,286.72,16.94,7.34,1.3,1
234.04,32.36,9.8,425.59,17.5,3.54,1.07,0
209.85,21.46,9.34,440.51,20.8,5.88,0.61,0
236.86,34.2,14.16,127.17,20.09,8.03,3.82,1
236.17,29.55,11.36,368.58,19.81,5.36,1.14,0
242.56,27.7,8.33,504.64,20.46,3.82,0.8,1
176.45,28.49,9.39,327.07,16.79,6.2,0.92,0
166.16,25.69,9.53,454.56,20.84,8.6,0.56,0
205.14,33.85,10.27,327.35,19.28,7.44,1.27,0
255.48,29.38,12.61,351.44,16.83,5.85,1.28,0
224.1,26.12,8.72,356.28,20.79,4.84,0.99,0
231.01,28.55,11.24,376.8,20.19,5.15,1.05,0
216.97,33.04,12.22,448.44,18.16,5.58,0.96,0
252.47,29.14,6.15,444.66,19.77,5.81,0.99,0
