 유형 , 시도 , 시군 , 단지명 , 조성상태 , 지정면적 , 관리면적 , 전체면적 , 분양대상 , 분양 , 미분양 , 분양률 , 입주업체 , 가동업체 , 고용(남) , 고용(여) , 고용(계) , 누계생산(백만원) , 누계수출(천달러) 
일반,울산,동구,자동차일반산업단지[구:남목],미개발,528 ,527 ,166 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,울산,중구,울산장현,미개발,317 ,317 ,133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
농공,울산,북구,달천,완료,260 ,260 ,194 ,194 ,194 ,0 ,100 ,102 ,95 ,850 ,380 ,"1,230 ","204,724 ","5,852 "
농공,울산,울주군,두동,완료,70 ,70 ,55 ,55 ,55 ,0 ,100 ,4 ,4 ,444 ,20 ,464 ,"139,055 ","13,044 "
농공,울산,울주군,두서,완료,123 ,123 ,101 ,101 ,101 ,0 ,100 ,15 ,14 ,691 ,94 ,785 ,"262,342 ","7,902 "
농공,울산,울주군,상북,완료,138 ,138 ,107 ,107 ,107 ,0 ,100 ,11 ,11 ,560 ,84 ,644 ,"105,982 ","25,619 "
국가,세종,세종,세종스마트,미개발,"2,753 ","2,754 ","1,387 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,소정,완료,272 ,272 ,193 ,193 ,193 ,0 ,100 ,1 ,1 ,,,,,
일반,세종,세종,월산,완료,"1,380 ","1,380 ",955 ,955 ,955 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,전의,완료,481 ,481 ,345 ,345 ,345 ,0 ,100 ,8 ,8 ,"1,147 ",376 ,"1,523 ","342,364 ","144,952 "
일반,세종,세종,전의2,완료,867 ,866 ,591 ,591 ,591 ,0 ,100 ,32 ,30 ,"1,155 ",226 ,"1,381 ","1,352,588 ","176,521 "
일반,세종,세종,조치원,완료,940 ,940 ,759 ,759 ,759 ,0 ,100 ,12 ,11 ,414 ,174 ,588 ,"181,420 ","101,996 "
일반,세종,세종,명학,완료,838 ,838 ,568 ,568 ,568 ,0 ,100 ,37 ,36 ,"2,959 ",918 ,"3,877 ","787,843 ","482,636 "
일반,세종,세종,부강(구 부용),완료,562 ,562 ,398 ,398 ,398 ,0 ,100 ,11 ,11 ,"1,722 ",245 ,"1,967 ","913,419 ","156,535 "
일반,세종,세종,세종미래,완료,560 ,560 ,386 ,386 ,386 ,0 ,100 ,24 ,15 ,328 ,91 ,419 ,"98,814 ","62,865 "
일반,세종,세종,세종스마트그린,조성중,849 ,832 ,530 ,530 ,524 ,6 ,99 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,세종벤처밸리,미개발,611 ,590 ,323 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,세종첨단,완료,664 ,663 ,443 ,443 ,443 ,0 ,100 ,25 ,24 ,782 ,354 ,"1,136 ","177,915 ","64,930 "
일반,세종,세종,전동,조성중,140 ,138 ,86 ,82 ,44 ,38 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,세종복합,미개발,829 ,827 ,470 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,세종,세종,행정중심복합도시4-2생활권,조성중,822 ,822 ,520 ,520 ,423 ,97 ,81 ,19 ,19 ,143 ,53 ,196 ,"6,698 ","1,064 "
농공,세종,세종,부용,완료,203 ,201 ,146 ,146 ,146 ,0 ,100 ,1 ,1 ,,,,,
농공,세종,세종,노장,완료,162 ,162 ,135 ,135 ,135 ,0 ,100 ,16 ,15 ,401 ,181 ,582 ,"110,270 ","12,144 "
농공,세종,세종,응암,완료,116 ,116 ,94 ,94 ,94 ,0 ,100 ,5 ,4 ,331 ,93 ,424 ,"83,450 ","16,092 "
농공,세종,세종,청송,완료,85 ,82 ,64 ,64 ,64 ,0 ,100 ,3 ,3 ,173 ,11 ,184 ,"57,400 ",0 
국가,경기,안산시,반월특수지역 (① + ② + ③ + ④),조성중,"150,766 ","41,416 ","22,401 ","22,255 ","21,132 ","1,123 ",95 ,"22,115 ","21,616 ","190,013 ","52,236 ","242,249 ","36,202,212 ","5,823,587 "
국가,경기,시흥시,   시화 ①,조성중,"69,810 ","16,121 ","10,395 ","10,395 ","10,395 ",0 ,100 ,"11,295 ","11,157 ","91,358 ","25,007 ","116,365 ","15,472,989 ","1,745,977 "
국가,경기,시흥시,   시화MTV ②,조성중,"9,947 ","6,515 ","2,769 ","2,623 ","2,623 ",0 ,100 ,"1,359 ","1,345 ","12,306 ","3,039 ","15,345 ","2,562,821 ","577,302 "
국가,경기,안산시,   반월특수(안산신도시)[재생사업지구] ③,완료,"15,374 ","15,419 ","7,916 ","7,916 ","7,916 ",0 ,100 ,"9,411 ","9,114 ","86,349 ","24,190 ","110,539 ","18,166,402 ","3,500,307 "
국가,경기,화성시,   송산그린시티 ④,조성중,"55,635 ","3,361 ","1,321 ","1,321 ",198 ,"1,123 ",15 ,50 ,0 ,0 ,0 ,0 ,0 ,0 
국가,경기,파주시,파주출판,완료,"1,562 ","1,515 ",586 ,586 ,586 ,0 ,100 ,825 ,824 ,"6,676 ","2,724 ","9,400 ","850,000 ","1,440 "
국가,경기,파주시,파주탄현,완료,80 ,77 ,44 ,44 ,44 ,0 ,100 ,48 ,45 ,203 ,68 ,271 ,"41,942 ","1,787 "
국가,경기,평택시,아산국가 (① + ② + ③),조성중,"20,193 ","17,796 ","8,672 ","8,672 ","8,672 ",0 ,100 ,51 ,254 ,"25,893 ","2,029 ","27,922 ","13,246,121 ","5,591,616 "
국가,경기,평택시,   원정지구 ①,완료,"8,587 ","8,587 ","1,851 ","1,851 ","1,851 ",0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,경기,평택시,   포승지구 ②,완료,"8,078 ","5,681 ","4,035 ","4,035 ","4,035 ",0 ,100 ,50 ,253 ,"12,869 ","1,783 ","14,652 ","5,802,536 ","1,324,152 "
국가,경기,화성시,   우정지구 ③,조성중,"3,528 ","3,528 ","2,786 ","2,786 ","2,786 ",0 ,100 ,1 ,1 ,,,,,
국가,경기,동두천시,동두천,조성중,267 ,266 ,184 ,184 ,184 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,경기,용인시,용인첨단시스템반도체클러스터국가산업단지,미개발,"7,281 ","7,281 ","4,195 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,김포시,김포항공,완료,336 ,336 ,202 ,202 ,202 ,0 ,100 ,8 ,8 ,208 ,13 ,221 ,"3,000 ",0 
일반,경기,김포시,상마,완료,79 ,79 ,63 ,63 ,63 ,0 ,100 ,37 ,37 ,295 ,58 ,353 ,"48,000 ","1,600 "
일반,경기,김포시,양촌,완료,"1,686 ","1,686 ",939 ,939 ,939 ,0 ,100 ,963 ,960 ,"6,474 ","2,564 ","9,038 ","80,000 ","9,000 "
일반,경기,김포시,율생,완료,49 ,49 ,34 ,34 ,34 ,0 ,100 ,13 ,13 ,80 ,18 ,98 ,"32,000 ",700 
일반,경기,김포시,통진(팬택),완료,34 ,34 ,30 ,30 ,30 ,0 ,100 ,4 ,3 ,47 ,50 ,97 ,0 ,0 
일반,경기,김포시,학운,완료,55 ,55 ,39 ,39 ,39 ,0 ,100 ,34 ,34 ,277 ,49 ,326 ,"22,000 ",700 
일반,경기,김포시,학운2,완료,634 ,634 ,402 ,402 ,402 ,0 ,100 ,126 ,122 ,"1,692 ",713 ,"2,405 ",0 ,0 
일반,경기,동두천시,동두천,완료,260 ,260 ,150 ,150 ,150 ,0 ,100 ,54 ,54 ,"1,057 ",293 ,"1,350 ","38,320 ","6,380 "
일반,경기,동두천시,동두천2,완료,185 ,185 ,130 ,130 ,130 ,0 ,100 ,29 ,29 ,398 ,186 ,584 ,"12,200 ","3,020 "
일반,경기,동두천시,상봉암,완료,53 ,53 ,46 ,46 ,46 ,0 ,100 ,7 ,7 ,388 ,333 ,721 ,"5,100 ",200 
일반,경기,부천시,오정,완료,291 ,291 ,129 ,129 ,129 ,0 ,100 ,103 ,103 ,"2,173 ",523 ,"2,696 ","219,530 ","64,080 "
일반,경기,성남시,성남[재생사업지구],완료,"1,511 ","1,511 ","1,164 ","1,164 ","1,164 ",0 ,100 ,"2,848 ","2,843 ","28,976 ","13,632 ","42,608 ","4,297,012 ","348,687 "
일반,경기,안산시,반월도금,완료,162 ,161 ,144 ,144 ,144 ,0 ,100 ,100 ,100 ,890 ,190 ,"1,080 ","117,683 ","5,508 "
일반,경기,안성시,가율,완료,58 ,58 ,50 ,50 ,50 ,0 ,100 ,3 ,3 ,315 ,191 ,506 ,"111,311 ",0 
일반,경기,안성시,공도,완료,69 ,69 ,63 ,63 ,63 ,0 ,100 ,5 ,5 ,130 ,21 ,151 ,"58,452 ","1,908 "
일반,경기,안성시,금산,완료,58 ,58 ,34 ,34 ,34 ,0 ,100 ,16 ,13 ,360 ,180 ,540 ,"520,724 ",0 
일반,경기,안성시,덕산,완료,59 ,59 ,48 ,48 ,48 ,0 ,100 ,12 ,12 ,136 ,48 ,184 ,"24,788 ",120 
일반,경기,안성시,동항,완료,57 ,57 ,47 ,47 ,47 ,0 ,100 ,15 ,13 ,211 ,85 ,296 ,"12,100 ","5,356 "
일반,경기,안성시,두교,완료,56 ,56 ,48 ,48 ,48 ,0 ,100 ,8 ,7 ,270 ,79 ,349 ,"16,880 ","10,614 "
일반,경기,안성시,미양2,완료,160 ,160 ,144 ,144 ,144 ,0 ,100 ,6 ,5 ,735 ,105 ,840 ,"197,146 ","102,592 "
일반,경기,안성시,방초,완료,60 ,60 ,42 ,42 ,42 ,0 ,100 ,9 ,9 ,154 ,51 ,205 ,"42,006 ","1,706 "
일반,경기,안성시,안성제1,완료,668 ,668 ,549 ,549 ,549 ,0 ,100 ,45 ,41 ,"2,507 ","1,144 ","3,651 ","868,534 ","94,521 "
일반,경기,안성시,안성제2,완료,716 ,716 ,549 ,549 ,549 ,0 ,100 ,55 ,52 ,"2,099 ",584 ,"2,683 ","1,122,658 ","47,718 "
일반,경기,안성시,안성제3,완료,397 ,397 ,285 ,285 ,285 ,0 ,100 ,50 ,44 ,928 ,399 ,"1,327 ","274,742 ","97,746 "
일반,경기,안성시,안성제4,완료,811 ,811 ,517 ,517 ,495 ,22 ,96 ,22 ,20 ,546 ,268 ,814 ,"302,329 ","55,023 "
일반,경기,안성시,용월,완료,59 ,59 ,40 ,40 ,40 ,0 ,100 ,12 ,12 ,103 ,39 ,142 ,"14,578 ",0 
일반,경기,안성시,원곡,완료,100 ,100 ,79 ,79 ,79 ,0 ,100 ,6 ,6 ,350 ,164 ,514 ,"132,404 ","2,530 "
일반,경기,안성시,장원1,완료,60 ,59 ,47 ,47 ,47 ,0 ,100 ,16 ,15 ,173 ,26 ,199 ,"34,024 ",130 
일반,경기,안성시,월정,완료,59 ,59 ,42 ,42 ,42 ,0 ,100 ,5 ,5 ,111 ,64 ,175 ,"21,187 ","11,256 "
일반,경기,양주시,구암,완료,46 ,46 ,39 ,39 ,39 ,0 ,100 ,2 ,1 ,,,,,
일반,경기,양주시,남면,완료,207 ,207 ,148 ,148 ,148 ,0 ,100 ,27 ,23 ,399 ,162 ,561 ,"28,040 ","1,360 "
일반,경기,양주시,도하,완료,67 ,67 ,57 ,57 ,57 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,양주시,상수,완료,59 ,59 ,48 ,48 ,48 ,0 ,100 ,10 ,10 ,249 ,57 ,306 ,"38,508 ","5,960 "
일반,경기,오산시,가장,완료,513 ,513 ,332 ,332 ,332 ,0 ,100 ,43 ,40 ,"2,242 ","1,497 ","3,739 ","1,800,000 ","200,000 "
일반,경기,파주시,문발1,완료,50 ,50 ,30 ,30 ,30 ,0 ,100 ,16 ,16 ,305 ,118 ,423 ,"75,558 ","1,000 "
일반,경기,파주시,문발2,완료,206 ,206 ,164 ,164 ,164 ,0 ,100 ,16 ,16 ,965 ,"1,341 ","2,306 ","175,406 ",0 
일반,경기,파주시,신촌,완료,190 ,190 ,120 ,120 ,120 ,0 ,100 ,79 ,67 ,"1,059 ",352 ,"1,411 ","63,139 ","2,285 "
일반,경기,파주시,오산,완료,232 ,232 ,171 ,171 ,171 ,0 ,100 ,76 ,66 ,639 ,168 ,807 ,"65,911 ","2,287 "
일반,경기,파주시,축현,완료,298 ,298 ,186 ,186 ,186 ,0 ,100 ,106 ,88 ,694 ,79 ,773 ,"33,548 ","1,252 "
일반,경기,파주시,파주LCD,완료,"1,741 ","1,741 ","1,120 ","1,120 ","1,120 ",0 ,100 ,8 ,5 ,"17,837 ","2,879 ","20,716 ","2,822,400 ","3,646,772 "
일반,경기,파주시,법원2,완료,330 ,330 ,208 ,208 ,208 ,0 ,100 ,31 ,19 ,234 ,110 ,344 ,"14,863 ",557 
일반,경기,평택시,고덕국제화계획지구,완료,"3,906 ","3,906 ","2,842 ","2,842 ","2,842 ",0 ,100 ,1 ,1 ,,,,,
일반,경기,평택시,어연한산,완료,690 ,690 ,463 ,463 ,463 ,0 ,100 ,34 ,30 ,"3,553 ","1,961 ","5,514 ","2,312,382 ","229,238 "
일반,경기,평택시,오성(외국인),완료,601 ,600 ,329 ,329 ,329 ,0 ,100 ,6 ,5 ,142 ,32 ,174 ,"82,822 ","6,622 "
일반,경기,평택시,장당,완료,150 ,150 ,142 ,142 ,142 ,0 ,100 ,5 ,5 ,478 ,79 ,557 ,"238,282 ","63,622 "
일반,경기,평택시,진위,완료,486 ,485 ,257 ,257 ,257 ,0 ,100 ,17 ,17 ,"2,132 ",345 ,"2,477 ","1,228,234 ","689,822 "
일반,경기,평택시,추팔,완료,610 ,610 ,414 ,414 ,414 ,0 ,100 ,32 ,32 ,"1,900 ",499 ,"2,399 ","1,290,342 ","184,298 "
일반,경기,평택시,칠괴,완료,641 ,641 ,495 ,495 ,495 ,0 ,100 ,16 ,15 ,578 ,231 ,809 ,"203,866 ","59,828 "
일반,경기,평택시,평택,완료,535 ,534 ,407 ,407 ,407 ,0 ,100 ,64 ,62 ,"2,540 ",990 ,"3,530 ","1,042,982 ","205,822 "
일반,경기,평택시,현곡,완료,723 ,723 ,501 ,501 ,459 ,42 ,92 ,27 ,27 ,"1,538 ",456 ,"1,994 ","829,528 ","178,202 "
일반,경기,포천시,신평,완료,57 ,57 ,43 ,43 ,43 ,0 ,100 ,9 ,9 ,151 ,75 ,226 ,"35,200 ","1,020 "
일반,경기,포천시,양문,완료,180 ,180 ,106 ,106 ,97 ,9 ,92 ,52 ,52 ,900 ,250 ,"1,150 ","60,700 ",240 
일반,경기,화성시,동탄,완료,"1,974 ","1,951 ",946 ,946 ,946 ,0 ,100 ,425 ,343 ,"11,252 ","2,693 ","13,945 ","1,218,460 ","697,674 "
일반,경기,화성시,마도,완료,929 ,929 ,587 ,587 ,587 ,0 ,100 ,275 ,173 ,"3,605 ",583 ,"4,188 ","124,000 ",440 
일반,경기,화성시,발안,완료,"1,839 ","1,815 ","1,292 ","1,292 ","1,292 ",0 ,100 ,505 ,370 ,"6,760 ","1,471 ","8,231 ","180,000 ","112,000 "
일반,경기,화성시,장안첨단(1)(외국인),완료,602 ,602 ,443 ,443 ,443 ,0 ,100 ,14 ,14 ,"1,511 ",344 ,"1,855 ","592,989 ","146,760 "
일반,경기,화성시,장안첨단(2)(외국인),완료,614 ,614 ,331 ,331 ,331 ,0 ,100 ,8 ,7 ,638 ,63 ,701 ,"271,868 ","57,974 "
일반,경기,화성시,전곡해양,완료,"1,617 ","1,617 ",975 ,975 ,975 ,0 ,100 ,305 ,237 ,"2,946 ",790 ,"3,736 ",0 ,0 
일반,경기,화성시,팔탄(한미약품),완료,80 ,80 ,59 ,59 ,59 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,화성시,향남제약,완료,648 ,644 ,460 ,460 ,460 ,0 ,100 ,53 ,51 ,"2,476 ","1,953 ","4,429 ","2,343,906 ","1,595,880 "
일반,경기,화성시,화남,조성중,149 ,149 ,110 ,110 ,110 ,0 ,100 ,42 ,37 ,380 ,43 ,423 ,"18,056 ",354 
일반,경기,화성시,화성,조성중,960 ,960 ,562 ,562 ,562 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,연천군,장남,완료,99 ,87 ,62 ,62 ,62 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,연천군,청산대전,완료,188 ,188 ,122 ,122 ,122 ,0 ,100 ,23 ,22 ,322 ,41 ,363 ,"83,150 ",0 
일반,경기,파주시,적성,완료,600 ,601 ,423 ,423 ,423 ,0 ,100 ,100 ,86 ,982 ,240 ,"1,222 ","55,478 ","1,979 "
일반,경기,김포시,한강시네폴리스,조성중,"1,121 ","1,121 ",433 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,이천시,장호원,완료,60 ,59 ,44 ,44 ,44 ,0 ,100 ,11 ,10 ,55 ,77 ,132 ,"12,926 ","2,417 "
일반,경기,이천시,설성,완료,48 ,48 ,33 ,33 ,33 ,0 ,100 ,6 ,4 ,46 ,8 ,54 ,"2,700 ",0 
일반,경기,이천시,모가,완료,60 ,60 ,43 ,43 ,43 ,0 ,100 ,2 ,1 ,,,,,
일반,경기,여주시,삼교,완료,56 ,56 ,36 ,36 ,36 ,0 ,100 ,2 ,2 ,,,,,
일반,경기,안성시,지문,완료,177 ,176 ,141 ,141 ,141 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,김포시,학운4,완료,492 ,491 ,325 ,325 ,325 ,0 ,100 ,172 ,168 ,"1,960 ",630 ,"2,590 ",0 ,0 
일반,경기,양주시,홍죽,완료,586 ,582 ,352 ,352 ,352 ,0 ,100 ,83 ,79 ,"1,094 ",408 ,"1,502 ","301,201 ","7,514 "
일반,경기,오산시,가장2,완료,595 ,595 ,401 ,401 ,401 ,0 ,100 ,70 ,61 ,"2,300 ","2,056 ","4,356 ","263,852 ","30,000 "
일반,경기,이천시,신둔,완료,39 ,39 ,25 ,25 ,25 ,0 ,100 ,2 ,2 ,,,,,
일반,경기,평택시,고렴,완료,265 ,265 ,196 ,196 ,126 ,70 ,64 ,9 ,9 ,278 ,81 ,359 ,"342,382 ",0 
일반,경기,포천시,용정,완료,947 ,947 ,631 ,631 ,631 ,0 ,100 ,123 ,81 ,"1,534 ","1,220 ","2,754 ","497,380 ","3,060 "
일반,경기,평택시,LG Digital Park,완료,125 ,125 ,99 ,99 ,99 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,화성시,경기화성바이오밸리,완료,"1,740 ","1,740 ","1,133 ","1,133 ","1,133 ",0 ,100 ,310 ,228 ,"3,781 ","1,007 ","4,788 ",0 ,0 
일반,경기,화성시,안녕일반산업단지(구: 한강씨엠),조성중,51 ,50 ,25 ,0 ,0 ,0 ,0 ,1 ,1 ,,,,,
일반,경기,김포시,학운3,완료,958 ,958 ,584 ,584 ,584 ,0 ,100 ,300 ,287 ,"2,626 ",888 ,"3,514 ",0 ,0 
일반,경기,시흥시,매화,조성중,376 ,376 ,199 ,199 ,199 ,0 ,100 ,541 ,541 ,"2,362 ","1,259 ","3,621 ","222,208 ","15,942 "
일반,경기,용인시,원삼,조성중,109 ,109 ,88 ,88 ,0 ,88 ,0 ,6 ,4 ,100 ,9 ,109 ,0 ,0 
일반,경기,평택시,진위2,완료,956 ,956 ,644 ,644 ,644 ,0 ,100 ,33 ,13 ,654 ,129 ,783 ,"1,403,628 ","682,182 "
일반,경기,군포시,군포첨단,완료,288 ,287 ,160 ,160 ,160 ,0 ,100 ,84 ,84 ,"2,380 ",835 ,"3,215 ",0 ,"21,517 "
일반,경기,포천시,장자(구 신평3리),완료,484 ,484 ,268 ,268 ,173 ,95 ,65 ,79 ,53 ,534 ,136 ,670 ,"80,738 ","18,792 "
일반,경기,이천시,대월,완료,60 ,59 ,44 ,44 ,44 ,0 ,100 ,7 ,5 ,148 ,36 ,184 ,"55,599 ","4,034 "
일반,경기,남양주시,광릉테크노밸리(구 팔야),완료,209 ,205 ,107 ,107 ,107 ,0 ,100 ,36 ,31 ,"1,171 ",436 ,"1,607 ","59,000 ",0 
일반,경기,연천군,백학통구,완료,84 ,84 ,66 ,66 ,66 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,용인시 처인구,제일바이오,조성중,60 ,59 ,51 ,51 ,51 ,0 ,100 ,2 ,2 ,,,,,
일반,경기,남양주시,금곡,완료,130 ,130 ,72 ,72 ,72 ,0 ,100 ,33 ,32 ,448 ,400 ,848 ,"6,600 ",0 
일반,경기,남양주시,진관,완료,142 ,142 ,98 ,98 ,98 ,0 ,100 ,64 ,64 ,624 ,361 ,985 ,"612,120 ",0 
일반,경기,수원시,수원델타플렉스(1블록)(구 수원1),완료,287 ,287 ,154 ,154 ,154 ,0 ,100 ,402 ,402 ,"3,342 ","1,208 ","4,550 ","3,356,300 ","1,584,420 "
일반,경기,수원시,수원델타플렉스(2블록)(구 수원2),완료,123 ,121 ,70 ,70 ,70 ,0 ,100 ,62 ,62 ,"1,480 ",384 ,"1,864 ","293,200 ","30,136 "
일반,경기,수원시,수원델타플렉스(3블록)(구 수원3),완료,847 ,847 ,577 ,577 ,577 ,0 ,100 ,601 ,601 ,"9,903 ","2,473 ","12,376 ","2,700,750 ","811,688 "
일반,경기,안성시,개정지방,완료,209 ,209 ,154 ,154 ,154 ,0 ,100 ,12 ,10 ,681 ,74 ,755 ,"100,398 ","80,828 "
일반,경기,양주시,검준,완료,145 ,145 ,88 ,88 ,88 ,0 ,100 ,56 ,52 ,968 ,261 ,"1,229 ","8,380 ","5,544 "
일반,경기,의정부시,용현,완료,346 ,345 ,210 ,210 ,210 ,0 ,100 ,133 ,133 ,"1,461 ",849 ,"2,310 ","144,000 ","32,000 "
일반,경기,파주시,당동(외국인),완료,641 ,641 ,239 ,239 ,239 ,0 ,100 ,5 ,5 ,793 ,0 ,793 ,"329,675 ","29,000 "
일반,경기,파주시,선유,완료,"1,313 ","1,313 ",695 ,695 ,695 ,0 ,100 ,120 ,106 ,"3,234 ","1,104 ","4,338 ","511,478 ","112,220 "
일반,경기,파주시,금파,완료,78 ,78 ,50 ,50 ,50 ,0 ,100 ,11 ,10 ,182 ,29 ,211 ,"17,657 ","1,144 "
일반,경기,파주시,월롱,완료,837 ,837 ,574 ,574 ,574 ,0 ,100 ,3 ,3 ,"1,220 ",306 ,"1,526 ","545,113 ","134,530 "
일반,경기,파주시,탄현,완료,123 ,123 ,84 ,84 ,84 ,0 ,100 ,52 ,52 ,383 ,117 ,500 ,"50,300 ",712 
일반,경기,파주시,법원1,미개발,305 ,305 ,164 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,평택시,송탄,완료,"1,086 ","1,086 ",787 ,787 ,787 ,0 ,100 ,141 ,139 ,"3,541 ","1,957 ","5,498 ","1,378,382 ","418,282 "
일반,경기,평택시,포승(2),완료,627 ,626 ,420 ,420 ,368 ,52 ,88 ,7 ,7 ,278 ,24 ,302 ,"174,282 ",0 
일반,경기,가평군,목동,완료,60 ,60 ,48 ,48 ,48 ,0 ,100 ,14 ,11 ,110 ,138 ,248 ,"9,280 ",0 
일반,경기,여주시,장안,완료,59 ,58 ,44 ,44 ,44 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,여주시,강천,완료,58 ,58 ,38 ,38 ,38 ,0 ,100 ,7 ,6 ,63 ,63 ,126 ,"22,954 ",0 
일반,경기,연천군,백학,완료,439 ,439 ,260 ,260 ,260 ,0 ,100 ,58 ,43 ,600 ,245 ,845 ,"1,600 ",0 
일반,경기,파주시,파주스튜디오시티일반산업단지(구:월롱2),조성중,119 ,119 ,75 ,75 ,65 ,10 ,87 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,화성시,주곡,조성중,200 ,200 ,141 ,141 ,141 ,0 ,100 ,34 ,26 ,438 ,57 ,495 ,"40,684 ",852 
일반,경기,이천시,도암,완료,60 ,60 ,47 ,47 ,47 ,0 ,100 ,7 ,7 ,94 ,27 ,121 ,"1,000 ",0 
일반,경기,이천시,도드람,완료,52 ,52 ,42 ,42 ,42 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,여주시,남여주,완료,71 ,56 ,40 ,40 ,40 ,0 ,100 ,7 ,2 ,,,,,
일반,경기,안산시,팔곡,조성중,143 ,141 ,64 ,64 ,64 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,용인시,농서,완료,54 ,54 ,46 ,46 ,46 ,0 ,100 ,3 ,2 ,,,,,
일반,경기,용인시 처인구,완장,조성중,124 ,124 ,94 ,94 ,94 ,0 ,100 ,2 ,2 ,,,,,
일반,경기,안성시,마정,조성중,61 ,60 ,43 ,26 ,26 ,0 ,100 ,3 ,3 ,300 ,19 ,319 ,0 ,0 
일반,경기,안성시,볼빅,조성중,70 ,70 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,이천시,신갈,완료,60 ,60 ,47 ,47 ,47 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,안성시,마산,완료,75 ,75 ,61 ,61 ,61 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,오산시,세마,완료,92 ,92 ,79 ,79 ,79 ,0 ,100 ,9 ,9 ,"1,229 ",85 ,"1,314 ","473,380 ",0 
일반,경기,포천시,금현,완료,141 ,140 ,93 ,93 ,93 ,0 ,100 ,14 ,13 ,142 ,110 ,252 ,"27,042 ",0 
일반,경기,화성시,화성정남,조성중,570 ,570 ,386 ,386 ,386 ,0 ,100 ,121 ,99 ,"2,322 ",542 ,"2,864 ",0 ,0 
일반,경기,안성시,장원2,완료,60 ,60 ,40 ,40 ,33 ,7 ,83 ,8 ,7 ,122 ,91 ,213 ,"41,558 ","2,046 "
일반,경기,평택시,평택브레인시티,미개발,"4,825 ","4,825 ","1,735 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,용인시,통삼,완료,49 ,49 ,37 ,37 ,37 ,0 ,100 ,8 ,6 ,402 ,93 ,495 ,0 ,0 
일반,경기,안성시,강문,조성중,88 ,88 ,65 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,양주시,서울우유,완료,195 ,196 ,111 ,111 ,111 ,0 ,100 ,1 ,1 ,,,,,
일반,경기,양주시,원,조성중,121 ,121 ,78 ,20 ,20 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,평택시,진위3(kdb Utople),미개발,828 ,826 ,531 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,용인시,지곡,조성중,72 ,72 ,46 ,46 ,46 ,0 ,100 ,2 ,1 ,,,,,
일반,경기,안성시,동항2,완료,150 ,150 ,104 ,104 ,104 ,0 ,100 ,20 ,19 ,446 ,61 ,507 ,"64,614 ","7,784 "
일반,경기,용인시,용인패키징디자인,완료,59 ,50 ,49 ,49 ,49 ,0 ,100 ,7 ,5 ,67 ,38 ,105 ,0 ,0 
일반,경기,이천시,관리,완료,38 ,38 ,32 ,32 ,32 ,0 ,100 ,4 ,2 ,,,,,
일반,경기,용인시,용인SG패션,조성중,54 ,51 ,28 ,2 ,2 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,용인시,한컴,완료,59 ,59 ,49 ,49 ,49 ,0 ,100 ,1 ,1 ,,,,,
